codigo,nome,marca,linha,faixa_etaria,dimensoes,pagina_catalogo,revisar
3007,TELTALUGA,playmi,Play&Collect,+18 meses,118A x 198C x 153L,120,
3008,TORTUGA,playmi,Play&Collect,+18 meses,175A x 236C x 210L,120,
9506,PIPINICO ROSA CAIXA INDIVIDUAL R$ Com tampa! Apoio lateral para maior estabilidade da criança Formato anatômico,playmi,Play&Collect,+12 meses,230A x 378C x 304L,121,SIM
9505,PIPINICO AZUL CAIXA INDIVIDUAL * A cor da embalagem individual,playmi,Play&Collect,+12 meses,230A x 378C x 304L,121,SIM
7128,PET CLUB HORA DO SONINHO,playmi,Play&Collect,+3 anos,225A x 210C x 103L,123,
7127,PET CLUB HORA DO PASSEIO,playmi,Play&Collect,+3 anos,196A x 237C x 90L,123,
7126,PET CLUB HORA DO BANHO em,playmi,Play&Collect,+3 anos,343A x 262C x 88L,123,
0133,MINI MERCADO,playmi,Play&Collect,+3 anos,100A x 250C x 160L,124,
0124,LEVA PAPINHA,playmi,Play&Collect,+3 anos,100A x 250C x 160L,124,
2004,DOCE COZINHA ALMOCINHO,playmi,Play&Collect,+3 anos,300A x 300C x 75L,125,
2005,DOCE COZINHA LANCHINHO,playmi,Play&Collect,+3 anos,300A x 300C x 75L,125,
2006,DOCE COZINHA JANTINHA,playmi,Play&Collect,+3 anos,300A x 300C x 75L,125,
2011,"DOCE COZINHA FOGÃOZINHO ( & """,playmi,Play&Collect,+3 anos,300A x 300C x 75L,126,
2010,"DOCE COZINHA FAZ-DE-CONTA ( & """,playmi,Play&Collect,+3 anos,300A x 300C x 75L,126,
8102,BELINHA STUDIO,playmi,Play&Collect,+3 anos,160A x 240C x 390L,127,
1051,COMBO AGRO TRATOR,playmi,Play&Collect,+3 anos,146A x 380C x 148L,129,
1040,COMBO TRATOR ESCAVADEIRA,playmi,Play&Collect,+3 anos,150A x 365C x 160L,129,
1041,COMBO TRATOR RETROESCAVADEIRA,playmi,Play&Collect,+3 anos,196A x 416C x 160L,129,
9047,COMBOIO RODEIO,playmi,Play&Collect,+3 anos,158A x 535C x 109L,130,
9055,COMBOIO BOMBEIRO,playmi,Play&Collect,+3 anos,130A x 533C x 109L,130,
1058,INVICTUS SUPER CEGONHEIRO,playmi,Play&Collect,+3 anos,170A x 490C x 120L,131,
1053,INVICTUS SKY,playmi,Play&Collect,+3 anos,125A x 425C x 105L,131,
1044,INVICTUS GRANELEIRO,playmi,Play&Collect,+3 anos,120A x 430C x 110L,132,
1045,INVICTUS RESGATE,playmi,Play&Collect,+3 anos,105A x 245C x 105L,132,
1042,INVICTUS BASCULANTE,playmi,Play&Collect,+3 anos,117A x 255C x 105L,132,
7163,TRAVEL DRIVER BUS AMARELO,playmi,Play&Drive,+3 anos,70A x 270C x 60L,133,
7164,TRAVEL DRIVER BUS VERMELHO,playmi,Play&Drive,+3 anos,70A x 270C x 60L,133,
7131,CITY DRIVER VERMELHO,playmi,Play&Drive,+3 anos,90A x 280C x 65L,134,
7130,CITY DRIVER AMARELO,playmi,Play&Drive,+3 anos,90A x 280C x 65L,134,
7144,CITY RESCUE POLÍCIA,playmi,Play&Drive,+3 anos,80A x 195C x 80L,135,
7142,CITY RESCUE AMBULÂNCIA,playmi,Play&Drive,+3 anos,85A x 200C x 70L,135,
7143,CITY RESCUE BOMBEIRO,playmi,Play&Drive,+3 anos,110A x 180C x 70L,135,
7134,CITY TRUCK RECICLAGEM,playmi,Play&Drive,+3 anos,115A x 245C x 85L,136,
7133,CITY TRUCK CONSTRUÇÃO,playmi,Play&Drive,+3 anos,140A x 270C x 85L,136,
7132,CITY TRUCK BOMBEIRO,playmi,Play&Drive,+3 anos,130A x 235C x 110L,136,
7162,FIRE RESCUE POLÍCIA,playmi,Play&Drive,+3 anos,50A x 180C x 80L,137,
7161,FIRE RESCUE BOMBEIRO,playmi,Play&Drive,+3 anos,,137,SIM
7135,CORRIDA RADICAL 360º,playmi,Play&Drive,+3 anos,260A x 335C x 75L,138,
7136,CORRIDA RADICAL 360º COM 2 LOOPINGS,playmi,Play&Drive,+3 anos,280A x 530C x 75L,138,
7148,DINOCAR COM ACESSÓRIOS,playmi,Play&Drive,+3 anos,140A x 310C x 110L,139,
7129,DINOCAR COM CARRINHOS Com 2 dinossauros vinil em miniatura,playmi,Play&Drive,+3 anos,140A x 310C x 110L,139,
7137,CORRIDA RADICAL DINOSSAURO,playmi,Play&Drive,+3 anos,250A x 350C x 95L,140,
7165,T-REX RELÂMPAGO,playmi,Play&Drive,+3 anos,80A x 180C x 50L,140,
